,run,lambda,mu,c,Wq,Lq
0,0,0.8,0.8333333333333334,1,43.7989160392827,35.23518565661144
1,1,0.8,0.8333333333333334,1,35.55816293552048,28.447520993008105
2,2,0.8,0.8333333333333334,1,31.15283526685194,25.21253899105803
3,3,0.8,0.8333333333333334,1,14.257467273034147,11.325181503880142
4,4,0.8,0.8333333333333334,1,16.17781181598975,12.785269102138589
5,5,0.8,0.8333333333333334,1,19.98849460758822,15.700626293410169
6,6,0.8,0.8333333333333334,1,19.915887109323247,16.05524010454972
7,7,0.8,0.8333333333333334,1,20.365280544590146,16.73538662977162
8,8,0.8,0.8333333333333334,1,12.449829931195294,9.939133911752073
9,9,0.8,0.8333333333333334,1,18.378397641535635,14.69130767105998
10,10,0.8,0.8333333333333334,1,33.442860927565086,27.021831629472572
11,11,0.8,0.8333333333333334,1,10.140916395650619,8.153723345273768
12,12,0.8,0.8333333333333334,1,15.710578066882954,12.16404919684827
13,13,0.8,0.8333333333333334,1,7.830514734911155,6.212208356362852
14,14,0.8,0.8333333333333334,1,24.176721578097776,19.403274730485954
15,15,0.8,0.8333333333333334,1,21.189566591712406,16.281295175779295
16,16,0.8,0.8333333333333334,1,40.23814511242827,31.85796041008741
17,17,0.8,0.8333333333333334,1,16.426826294741204,13.05683521063751
18,18,0.8,0.8333333333333334,1,33.26557315381446,26.93344297316993
19,19,0.8,0.8333333333333334,1,28.590696997479995,23.42775200252496
20,0,1.6,0.8333333333333334,2,8.513204021889246,13.687095953865466
21,1,1.6,0.8333333333333334,2,13.948270541791862,22.48844809932199
22,2,1.6,0.8333333333333334,2,52.0673902841114,85.84599756972452
23,3,1.6,0.8333333333333334,2,9.00676100622846,14.306676164035874
24,4,1.6,0.8333333333333334,2,9.767382695483855,15.50296793692343
25,5,1.6,0.8333333333333334,2,18.8943836304237,30.199134220614717
26,6,1.6,0.8333333333333334,2,7.046908509491079,11.348580395090714
27,7,1.6,0.8333333333333334,2,11.056487033017051,17.819556510270047
28,8,1.6,0.8333333333333334,2,15.563040942757091,25.431044779458613
29,9,1.6,0.8333333333333334,2,17.63871126000869,29.70325441773295
30,10,1.6,0.8333333333333334,2,7.700241385298985,12.534613996255967
31,11,1.6,0.8333333333333334,2,11.190190338376905,17.96565854872584
32,12,1.6,0.8333333333333334,2,7.3443624129963005,11.558447060828223
33,13,1.6,0.8333333333333334,2,14.240517327771501,23.074688429844194
34,14,1.6,0.8333333333333334,2,8.804790970201989,13.779951134826566
35,15,1.6,0.8333333333333334,2,9.742168002688214,15.481306442380978
36,16,1.6,0.8333333333333334,2,4.549097130502331,7.079799923476631
37,17,1.6,0.8333333333333334,2,15.59061174240108,25.401551595502145
38,18,1.6,0.8333333333333334,2,8.908772640887625,14.239188271018639
39,19,1.6,0.8333333333333334,2,5.932246118682415,9.367516140382355
40,0,2.4000000000000004,0.8333333333333334,3,4.282053535131471,10.234401957512414
41,1,2.4000000000000004,0.8333333333333334,3,8.142035552838955,19.63879376929375
42,2,2.4000000000000004,0.8333333333333334,3,8.041565023222642,19.394797062633888
43,3,2.4000000000000004,0.8333333333333334,3,5.558708009234883,13.186402244011514
44,4,2.4000000000000004,0.8333333333333334,3,5.979173311947313,14.274489689339308
45,5,2.4000000000000004,0.8333333333333334,3,15.037001398313686,36.01051310109118
46,6,2.4000000000000004,0.8333333333333334,3,8.294449861235787,19.735997762368253
47,7,2.4000000000000004,0.8333333333333334,3,8.337534469565691,20.310233967861972
48,8,2.4000000000000004,0.8333333333333334,3,9.020140405174793,21.953083151032327
49,9,2.4000000000000004,0.8333333333333334,3,11.816948712688,28.593680089056306
